H    1.000000E+00
He   2.454599E-04
C    1.820015E-03
N    8.128510E-07
O    2.818505E-05
F    9.772814E-08
Ne   3.980894E-06
Na   2.089541E-08
Mg   2.187508E-07
Al   6.919505E-09
Si   1.584924E-07
P    9.770867E-10
S    6.455285E-08
Cl   8.708871E-10
Ar   1.148206E-08
K    5.620961E-10
Ca   1.023148E-08
Sc   6.023763E-12
Ti   3.980894E-10
V    1.995141E-11
Cr   6.607420E-10
Mn   2.630000E-10
Fe   7.412577E-08
Co   4.786087E-10
Ni   4.266083E-09
Cu   1.071830E-10
Zn   1.071584E-10
Ga   4.073303E-12
Ge   1.548891E-11
As   6.165139E-13
Se   7.413910E-12
Br   1.096362E-12
Kr   8.127028E-12
Rb   1.905326E-12
Sr   8.317847E-12
Y    2.818713E-12
Zr   8.510393E-12
Nb   7.078956E-13
Mo   1.479152E-12
Ru   6.309110E-13
Rh   4.786010E-14
Pd   5.011683E-13
Ag   7.079374E-14
Cd   1.348863E-12
In   1.000068E-13
Sn   3.714896E-12
Sb   1.861554E-13
Te   2.188396E-12
I    2.137881E-13
Xe   3.162640E-12
Cs   1.737419E-13
Ba   3.310791E-11
La   2.569898E-12
Ce   1.096509E-11
Pr   9.772233E-13
Nd   6.024982E-12
Sm   1.318329E-12
Eu   9.771454E-14
Gd   9.330490E-13
Tb   9.121279E-14
Dy   9.333096E-13
Ho   1.258946E-13
Er   8.127942E-13
Tm   8.910783E-14
Yb   1.348876E-12
Lu   1.230342E-13
Hf   2.089161E-12
Ta   1.698294E-13
W    2.138016E-12
Re   1.659860E-13
Os   1.698320E-12
Ir   2.883738E-13
Pt   1.659709E-12
Au   3.019838E-13
Hg   5.623001E-12
Tl   3.388321E-12
Pb   2.041827E-10
Bi   4.467000E-12
